Division Name,District Name,Tehsil Name ,Mauza Name ,Service Centre Type,
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,MALIK WAL,Vety. Hospital,A
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,MALIK WAL,Mobile Vety. Dispencery,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,MALIK WAL,A.I. Sub-Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,HASALANWALA,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,LASURI KALAN,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,PAHRIAN WALI,Vety. Hospital,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,PAHRIAN WALI,A.I. Sub-Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,CHAK JANO KHURD,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,HEGAR KHURD,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,CHAK SAIDA,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,CHARANWALA, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,HELAN,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,PHALIA AMIR,Vety. Hospital,B
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,PHALIA AMIR,Mobile Vety. Dispencery,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,PHALIA AMIR,A.I. Centre,A
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,RAIKE,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,DHAUL,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,THATHA KHAN MOHD, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,QADIR ABAD,Vety. Hospital,B
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,QADIR ABAD,A.I. Sub-Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,BHEKO,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,BHOIA HASSAN,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,DHUNI KALAN, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,BHEROWAL,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,KOT SHER MOHD,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,BURJ BAKHT, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,NARANG,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,JOKALIAN,Vety. Hospital,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,JOKALIAN,A.I. Sub-Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,CHHANNI GHANIA,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,RANMAL SHARIF,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,SAHNPAL,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,PINDI KALU,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,DOGIL,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,THATHI MURID, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,RANDIALI,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,DHARIKAN KALAN, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,CHAK BASAWA,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,MONG,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,PINDI BAHA-UD-DIN,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,SHAHEEDAN WALI,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,CHAK NO.51 MANDI BAHA-UD-DIN,Vety. Hospital,A
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,CHAK NO.51 MANDI BAHA-UD-DIN,Mobile Vety. Dispencery,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,CHAK NO.51 MANDI BAHA-UD-DIN,A.I. Centre,B
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,KATHIALA SYEDAN,Vety. Hospital,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,LAKHNEWALA, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,SOHAWA JAMLANI,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,MANGAT,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,BHIKKI,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,CHAK NO.12, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,CHHIMMUN, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,AHLA,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,DHOK NAWANLOK,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,DHOK KASIB, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,SIVIAH,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,CHAK NO1,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,RASUL,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,CHILLIAN WALA,Vety. Hospital,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,CHILLIAN WALA,A.I. Sub-Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,MAUJIAN WALI,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,KHATYALA SHEIKHAN,A.I. Sub-Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,CHAK NO.40,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,MIAN WAL,Vety. Hospital,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,RATTOWAL,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,NAIN,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,BAHUWAL,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,CHAK RAIB,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,BADSHAHPUR,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,HARIA,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,PIND MAKO, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,MONA DEPO,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,WARA ALAM SHAH, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,MAHJI,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,GOJRA,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,BOSAL,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,RUKKAN,Vety. Hospital,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,RUKKAN,A.I. Sub-Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,CHAK NO.16, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,CHAK NO.42,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,PINDI RAWAN,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,SANDA, Vety. Dispensary,C
