district_name,tehsil_name,exam_center_emis,xc_name
ATTOCK,FATEH JANG,37120009,101-GHS JHANG
ATTOCK,FATEH JANG,37120038,102-gghs jhang
ATTOCK,FATEH JANG,37120007,103-GBHS Jaffar
ATTOCK,PINDI GHEB,37130004,104-GBHS Dhok Laham
ATTOCK,HAZRO,37160024,105-GHS NARTOPA
ATTOCK,HAZRO,37160019,106-GHS KHAGWANI
ATTOCK,HAZRO,37160022,107-GHSS GHOUR GHUSHTI
ATTOCK,HAZRO,37160035,108-GGHS GHOURGHUSHTI
ATTOCK,HAZRO,37160059,109-GHS JALALIA
ATTOCK,JAND ,37140010,110-GBHS JHAMAT(A)
ATTOCK,JAND ,37140018,111-GHS DAKHNAIR (JAND)
ATTOCK,JAND ,37140032,112-ghs uchhri
ATTOCK,JAND ,37140025,113-GGHS THATTA
ATTOCK,FATEH JANG,37120012,114-GBHS Qutbal
ATTOCK,HASSANABDAL,37150001,115-GBHSS Hassan Abdal
ATTOCK,ATTOCK,37110009,116-GBHS Mirza
ATTOCK,ATTOCK,37110032,117-GGHSS MIRZA
ATTOCK,ATTOCK,37110005,118-GHSS ATTOCK
ATTOCK,ATTOCK,37110007,119-GHSS PAC F-6 KAMRA
ATTOCK,ATTOCK,37110014,120-GHS KAMRA KALAN
ATTOCK,ATTOCK,37110030,121-GGHS AMF KAMRA CANTT
ATTOCK,ATTOCK,37110076,122-GGHS KAMRA KALAN
ATTOCK,HAZRO,37160016,123-GHS HAROON
ATTOCK,HAZRO,37160026,124-GHS HAMEED
ATTOCK,HAZRO,37160027,125-GHS MALHOO
ATTOCK,HAZRO,37160083,126-GGHS HAROON
ATTOCK,HAZRO,37160084,127-GGHS HAMEED
ATTOCK,JAND ,37140020,128-GGHS JAND
ATTOCK,ATTOCK,37110013,129-GBHS Garyala
ATTOCK,FATEH JANG,37120003,130-GHsS Malal
ATTOCK,FATEH JANG,37120008,131-GBHS Bahter
ATTOCK,JAND ,37140040,132-GGHS CHAPRI
ATTOCK,JAND ,37140019,133-GBHS CHHAB
ATTOCK,JAND ,37140026,134-GGHSS CHHAB
ATTOCK,FATEH JANG,37120042,135-GGHS JAFFAR
ATTOCK,HASSANABDAL,37150015,136-GHS Sultan Pur
ATTOCK,ATTOCK,37110043,137-GHS SOJHANDA
ATTOCK,ATTOCK,37110006,138-GHS SHEEN BAGH
ATTOCK,ATTOCK,37110033,139-GGHS Sheen Bagh
ATTOCK,ATTOCK,37110052,140-GHS DAKHNAIR (ATTOCK)
ATTOCK,HASSANABDAL,37150006,141-GHS BHALAR JOGI
ATTOCK,HASSANABDAL,37150018,142-GGHS Bhlar Jogi
ATTOCK,PINDI GHEB,37130024,143-GBHS Maira Sharif
ATTOCK,FATEH JANG,37120020,144-GHS JANGEL
ATTOCK,PINDI GHEB,37130038,145-GGHS Datwal
ATTOCK,PINDI GHEB,37130016,146-GGHS Khaur Company
ATTOCK,JAND ,37120149,147-GES KAMRA FATEH JANG
ATTOCK,JAND ,37140022,148-GGHS KHUNDA
ATTOCK,PINDI GHEB,37130026,149-GES KHOUR CITY(A)
ATTOCK,JAND ,37140006,150-GBHS KHUNDA(A)
ATTOCK,FATEH JANG,37120002,151-GBHS No.2 F.Jang
ATTOCK,FATEH JANG,37120048,152-GPS FATEH JANG WEST
ATTOCK,FATEH JANG,37120014,153-GHS SHAH RAI SADULLAH
ATTOCK,HASSANABDAL,37150004,154-GHS Fateh Ullah
ATTOCK,ATTOCK,37110011,155-GBHS Haji Shah
ATTOCK,ATTOCK,37110034,156-GGHS HAJI SHAH
ATTOCK,ATTOCK,37110053,157-GBHS FAQEERABAD ATTOCK
ATTOCK,ATTOCK,37160012,158-GHS MULLAN MANSOOR
ATTOCK,ATTOCK,37160144,159-GBHS MANSAR
ATTOCK,FATEH JANG,37120047,160-GPS NO2 FATEH JANG(A)
ATTOCK,HAZRO,37160017,161-GHS NO. 1 HAZRO
ATTOCK,HAZRO,37160054,162-GHS HAZRO NO.2
ATTOCK,HAZRO,37160151,163-GPS HAZRO NO.1
ATTOCK,HAZRO,37160017,164-GHS NO. 1 HAZRO(A)
ATTOCK,FATEH JANG,37120017,165-GGHSS Kot Fateh Khan(A)
ATTOCK,PINDI GHEB,37130007,166-GBHSS Khaur
ATTOCK,PINDI GHEB,37130012,167-GHS AHMEDAL
ATTOCK,HASSANABDAL,37150008,168-GES HASSANABDAL(A)
ATTOCK,HAZRO,37160037,169-GGHSS SHADI KHAN
ATTOCK,JAND ,37140012,170-GHS HADDO WALI
ATTOCK,JAND ,37140013,171-GHS TARAP
ATTOCK,JAND ,37140014,172-GHS KANI
ATTOCK,JAND ,37140016,173-GBHS Injra
ATTOCK,PINDI GHEB,37130031,174-GGHS Fatima Jinnah
ATTOCK,HAZRO,37160001,175-GHSS SHADI KHAN
ATTOCK,FATEH JANG,37120045,176-GGHS QUTBAL(A)
ATTOCK,HASSANABDAL,37150002,177-GGHSS Hassan Abdal
ATTOCK,HASSANABDAL,37150003,178-GHS HASSAN ABDAL
ATTOCK,HASSANABDAL,37150133,179-GGHS HASSAN ABDAL
ATTOCK,JAND ,37140008,180-GHS BHATIOT
ATTOCK,ATTOCK,37110010,181-GHSS DAURDAD(B)
ATTOCK,ATTOCK,37110036,182-GGHS BOLIAN WAL(B)
ATTOCK,ATTOCK,37110049,183-GHS KAWA(B)
ATTOCK,PINDI GHEB,37130018,184-GGHS KAMRIAL
ATTOCK,PINDI GHEB,37130011,185-GHS KAMRIAL
ATTOCK,ATTOCK,37110003,186-GPSS Attock(B)
ATTOCK,ATTOCK,37110041,187-GHS (MC) ATTOCK CITY(A)
ATTOCK,JAND ,37140048,188-GHS JAND NO. 2
ATTOCK,PINDI GHEB,37130005,189-GHS IKHLAS
ATTOCK,PINDI GHEB,37130017,190-GGHS Akhlas
ATTOCK,ATTOCK,37110029,191-GGHS ATTOCK NO.2(B)
ATTOCK,JAND ,37140002,192-GHS CHOORA SHARIF
ATTOCK,JAND ,37140179,193-GGES MOHALLA TEHRA JAND
ATTOCK,HAZRO,37160062,194-GHS FORMULI
ATTOCK,HAZRO,37160063,195-GES MALLAH
ATTOCK,ATTOCK,37110066,196-GGHS PEPOLES COLONY ATTOCK(B)
