hospital_name,hospital_type,district
"THQ, HOSPITAL, HAROON ABAD.",THQ Bahawalnagar,Bahawalnagar
"THQ HOSPITAL, CHISHTIAN.",THQ Bahawalnagar,Bahawalnagar
"THQ HOSPITAL, FORT ABBAS.",THQ Bahawalnagar,Bahawalnagar
"THQ HOSPITAL, MINCHINABAD.",THQ Bahawalnagar,Bahawalnagar
"THQ HOSPITAL, AHMADPUR EAST.",THQ Bahawalpur,Bahawalpur
"THQ HOSPITAL, HASILPUR.",THQ Bahawalpur,Bahawalpur
THQ KHAIR PUR TAMEWALI,THQ Bahawalpur,Bahawalpur
THQ YAZMAN,THQ Bahawalpur,Bahawalpur
THQ HOSPITAL LIAQUATPUR,THQ Rahimyar Khan,Rahimyar Khan
THQ HOSPITAL SADIQABAD,THQ Rahimyar Khan,Rahimyar Khan
THQ HOSPITAL KHANPUR,THQ Rahimyar Khan,Rahimyar Khan
THQ HOSPITAL TAUNS,THQ D.G Khan,D.G Khan
THQ KOT SULTAN,THQ Layyah,Layyah
THQ HOSPITAL KAROR,THQ Layyah,Layyah
THQ HOSPITAL CHOUBARA,THQ Layyah,Layyah
THQ Hospital Alipur,THQ Muzaffargarh,Muzaffargarh
THQ Jatoi,THQ Muzaffargarh,Muzaffargarh
THQ Hospital Kot Adu,THQ Muzaffargarh,Muzaffargarh
THQ HOSPITAL ROJHAN,THQ Rajanpur,Rajanpur
THQ HOSPITAL JAMPUR,THQ Rajanpur,Rajanpur
THQ HOSPITAL JHUMRA,THQ Faisalabad,Faisalabad
THQ HOSPITAL JARANWALA,THQ Faisalabad,Faisalabad
THQ TANDILIANWALA,THQ Faisalabad,Faisalabad
THQ HOSPITAL SUMUNDRI,THQ Faisalabad,Faisalabad
THQ Govt. GENERAL HOSPITAL G.M Abad,THQ Faisalabad,Faisalabad
THQ Hospital Shorkot,THQ Jhang,Jhang
THQ Ahmed pur Sial,THQ Jhang,Jhang
GOVT.EYE-CUM-GENERAL HOSPITAL GOJRA,THQ Toba Tek Singh,Toba Tek Singh
THQ HOSPITAL KAMALIA,THQ Toba Tek Singh,Toba Tek Singh
THQ Lalian,THQ Chinot,Chinot
THQ Bhowana,THQ Chinot,Chinot
THQ HOSPITAL WAZIRABAD,THQ Gujranwala,Gujranwala
THQ HOSPITAL KAMOKE,THQ Gujranwala,Gujranwala
THQ NOSHERA VIRKAN,THQ Gujranwala,Gujranwala
THQ HOSPITAL KHARIAN,THQ Gujrat,Gujrat
THQ Shakargarh,THQ Narowal,Narowal
