constituency,dependant_on
Not Applicable,DCO
Not Applicable,EDO
Not Applicable,DG Office
Not Applicable,Assistant Commissioner
Not Applicable,MS
PP-1,MPA
PP-2,MPA
PP-3,MPA
PP-4,MPA
PP-5,MPA
PP-6,MPA
PP-7,MPA
PP-8,MPA
PP-9,MPA
PP-10,MPA
PP-11,MPA
PP-12,MPA
PP-13,MPA
PP-14,MPA
PP-15,MPA
PP-16,MPA
PP-17,MPA
PP-18,MPA
PP-19,MPA
PP-20,MPA
PP-21,MPA
PP-22,MPA
PP-23,MPA
PP-24,MPA
PP-25,MPA
PP-26,MPA
PP-27,MPA
PP-28,MPA
PP-29,MPA
PP-30,MPA
PP-31,MPA
PP-32,MPA
PP-33,MPA
PP-34,MPA
PP-35,MPA
PP-36,MPA
PP-37,MPA
PP-38,MPA
PP-39,MPA
PP-40,MPA
PP-41,MPA
PP-42,MPA
PP-43,MPA
PP-44,MPA
PP-45,MPA
PP-46,MPA
PP-47,MPA
PP-48,MPA
PP-49,MPA
PP-50,MPA
PP-51,MPA
PP-52,MPA
PP-53,MPA
PP-54,MPA
PP-55,MPA
PP-56,MPA
PP-57,MPA
PP-58,MPA
PP-59,MPA
PP-60,MPA
PP-61,MPA
PP-62,MPA
PP-63,MPA
PP-64,MPA
PP-65,MPA
PP-66,MPA
PP-67,MPA
PP-68,MPA
PP-69,MPA
PP-70,MPA
PP-71,MPA
PP-72,MPA
PP-73,MPA
PP-74,MPA
PP-75,MPA
PP-76,MPA
PP-77,MPA
PP-78,MPA
PP-79,MPA
PP-80,MPA
PP-81,MPA
PP-82,MPA
PP-83,MPA
PP-84,MPA
PP-85,MPA
PP-86,MPA
PP-87,MPA
PP-88,MPA
PP-89,MPA
PP-90,MPA
PP-91,MPA
PP-92,MPA
PP-93,MPA
PP-94,MPA
PP-95,MPA
PP-96,MPA
PP-97,MPA
PP-98,MPA
PP-99,MPA
PP-100,MPA
PP-101,MPA
PP-102,MPA
PP-103,MPA
PP-104,MPA
PP-105,MPA
PP-106,MPA
PP-107,MPA
PP-108,MPA
PP-109,MPA
PP-110,MPA
PP-111,MPA
PP-112,MPA
PP-113,MPA
PP-114,MPA
PP-115,MPA
PP-116,MPA
PP-117,MPA
PP-118,MPA
PP-119,MPA
PP-120,MPA
PP-121,MPA
PP-122,MPA
PP-123,MPA
PP-124,MPA
PP-125,MPA
PP-126,MPA
PP-127,MPA
PP-128,MPA
PP-129,MPA
PP-130,MPA
PP-131,MPA
PP-132,MPA
PP-133,MPA
PP-134,MPA
PP-135,MPA
PP-136,MPA
PP-137,MPA
PP-138,MPA
PP-139,MPA
PP-140,MPA
PP-141,MPA
PP-142,MPA
PP-143,MPA
PP-144,MPA
PP-145,MPA
PP-146,MPA
PP-147,MPA
PP-148,MPA
PP-149,MPA
PP-150,MPA
PP-151,MPA
PP-152,MPA
PP-153,MPA
PP-154,MPA
PP-155,MPA
PP-156,MPA
PP-157,MPA
PP-158,MPA
PP-159,MPA
PP-160,MPA
PP-161,MPA
PP-162,MPA
PP-163,MPA
PP-164,MPA
PP-165,MPA
PP-166,MPA
PP-167,MPA
PP-168,MPA
PP-169,MPA
PP-170,MPA
PP-171,MPA
PP-172,MPA
PP-173,MPA
PP-174,MPA
PP-175,MPA
PP-176,MPA
PP-177,MPA
PP-178,MPA
PP-179,MPA
PP-180,MPA
PP-181,MPA
PP-182,MPA
PP-183,MPA
PP-184,MPA
PP-185,MPA
PP-186,MPA
PP-187,MPA
PP-188,MPA
PP-189,MPA
PP-190,MPA
PP-191,MPA
PP-192,MPA
PP-193,MPA
PP-194,MPA
PP-195,MPA
PP-196,MPA
PP-197,MPA
PP-198,MPA
PP-199,MPA
PP-200,MPA
PP-201,MPA
PP-202,MPA
PP-203,MPA
PP-204,MPA
PP-205,MPA
PP-206,MPA
PP-207,MPA
PP-208,MPA
PP-209,MPA
PP-210,MPA
PP-211,MPA
PP-212,MPA
PP-213,MPA
PP-214,MPA
PP-215,MPA
PP-216,MPA
PP-217,MPA
PP-218,MPA
PP-219,MPA
PP-220,MPA
PP-221,MPA
PP-222,MPA
PP-223,MPA
PP-224,MPA
PP-225,MPA
PP-226,MPA
PP-227,MPA
PP-228,MPA
PP-229,MPA
PP-230,MPA
PP-231,MPA
PP-232,MPA
PP-233,MPA
PP-234,MPA
PP-235,MPA
PP-236,MPA
PP-237,MPA
PP-238,MPA
PP-239,MPA
PP-240,MPA
PP-241,MPA
PP-242,MPA
PP-243,MPA
PP-244,MPA
PP-245,MPA
PP-246,MPA
PP-247,MPA
PP-248,MPA
PP-249,MPA
PP-250,MPA
PP-251,MPA
PP-252,MPA
PP-253,MPA
PP-254,MPA
PP-255,MPA
PP-256,MPA
PP-257,MPA
PP-258,MPA
PP-259,MPA
PP-260,MPA
PP-261,MPA
PP-262,MPA
PP-263,MPA
PP-264,MPA
PP-265,MPA
PP-266,MPA
PP-267,MPA
PP-268,MPA
PP-269,MPA
PP-270,MPA
PP-271,MPA
PP-272,MPA
PP-273,MPA
PP-274,MPA
PP-275,MPA
PP-276,MPA
PP-277,MPA
PP-278,MPA
PP-279,MPA
PP-280,MPA
PP-281,MPA
PP-282,MPA
PP-283,MPA
PP-284,MPA
PP-285,MPA
PP-286,MPA
PP-287,MPA
PP-288,MPA
PP-289,MPA
PP-290,MPA
PP-291,MPA
PP-292,MPA
PP-293,MPA
PP-294,MPA
PP-295,MPA
PP-296,MPA
PP-297,MPA
