school_emis_code,school_name,school_latitude,school_longitude
35210618,GGPS WARA SATAR SHAH,31.5859801,74.43021404
35210543,GGPS DEVSANI,31.47119673,74.5956915
35210206,GES NOOR PUR,31.43946561,74.5427586
35220597,GES CDG JAFARIA COLONY,31.53811001,74.28126116
35210405,GPS WARA SHADI,31.41471364,74.50718598
35210010,GHS DAR-UL-FURQAN BEGUM PURA,31.58042202,74.36193606
35220008,GHS RAIWIND ROAD LHR,31.26004636,74.2145884
35220139,GGHS KHARAK MULTAN ROAD,31.48669625,74.25471718
35210509,GGPS HARPAL KEY,31.4337463,74.42152024
35210120,GHS CHUNG KHURD,31.47938279,74.41343154
35210219,GPS LALLOH,31.49240483,74.58184903
35210645,GGCMES MANAWAN,31.58986839,74.47469747
35210889,GHS CDG RAILWAY PAKKAY QUARTERS MUGHAL PURA,31.56950464,74.3740433
35220602,GHS CDG CHOTA VILLAGE ISLAM PURA,31.63679514,74.27911841
35220176,GPS HAVELI ASLAM KHAN,31.2769903,74.2937855
35210214,GPS RAM PURA KHURD,31.43558747,74.60683624
35210479,GGPS FCC CAMPUS,31.52811266,74.34746269
35210728,GGPS PATTI KASHMIR,31.3431251,74.36553776
35220162,GPS ALI RAZA ABAD,31.43227482,74.23581465
35210837,GPS CDG JUNIOR MODEL CHANDIAN,31.56003082,74.42515279
35210884,GHS CDG NIM PIR SHALIMAR TOWN,31.5918638,74.3998738
35210323,GPS SULEMAN JUNIOR MODEL SAMAN ABAD,31.53336774,74.30512595
35220623,GGHS CDG NAIN SUKH SHAHDARA,31.60208811,74.2513169
35220099,GGHSS MANGA MANDI MULTAN ROAD,31.30797782,74.05384932
35220197,GPS MURIDWALI,31.4777607,74.2450484
35210811,GGHS CDG KOT LAKHPAT PEECO ROAD,31.46503624,74.33509008
35210733,GGPS GHANAKAR,31.39459397,74.38948855
35210100,GHS LAKHOKI,31.35374757,74.4692551
35210319,GPS NA REHMAN PURA,31.5296534,74.3158528
35220481,GMMS KAKEY ZAI LAHORE,31.50236295,74.26601012
35210295,GPS ENO BHATTI,31.64528982,74.37657874
35220057,GGHS MANDI RAIWIND,31.2426132,74.2234892
35220053,GHS MUSLIM MODEL URDU BAZAR LAHORE,31.57554388,74.30799901
35220333,GGPS HASHMI TAXALI GATE,31.5835305,74.306771
35210114,GES BAHARI COLONY GREEN TOWN LAHORE,31.43897485,74.30063602
35210913,GGHS CDG FATEH GARH MUGHAL PURA,31.56782666,74.40554685
35220558,GGPS CDG SHAD BAGH,31.595035,74.3373227
35210226,GPS SANKEA,31.57007079,74.58512116
35210551,GGPS PAKIZA GONDAL IQBAL TOWN LAHORE,31.514676,74.2999439
35220133,GGES JINNAH ISLAMIA SANAT NAGAR,31.5729019,74.29520714
35210893,GHS CDG GUJAR COLONY,31.5492988,74.40962104
35210274,GPS SHARIF PURA,31.60145243,74.41700516
35220640,GHS CDG BABU SABU KOT KAMBOH,31.5395323,74.269087
35210491,GGPS RAJA BHOLA,31.40114124,74.40863583
35220450,GGPS WARA SEYYDAN WALA,31.27430578,74.0648737
35220616,GES CDG NAULAKHA PARK,31.5843818,74.34149654
35210658,GGES TAQI PUR,31.57640307,74.52951654
35210133,GHS GAJU MATTA,31.3872018,74.35954361
35220054,GHS SHAHDARA,31.6228192,74.29210785
35210708,GGPS HAVELI HABEEB ULLAH,31.27357237,74.4250025
35220436,GGPS KANGA DA DERA,31.38789838,74.13895883
35210003,GGHSS SAMANABAD,31.5420405,74.3052204
35210352,GPS KULAKI,31.3661788,74.475055
35220199,GPS NAWAZISH ABAD RAIWIND ROAD,31.43156462,74.21030399
35210387,GPS JINDRA KALAN,31.49391881,74.45633473
