1,37110003,GHS PILOT ATTOCK,ATTOCK,ATTOCK,ATTOCK
2,37110004,GHS (ISLAMIA) ATTOCK,ATTOCK,ATTOCK,ATTOCK
3,37110005,GHSS ATTOCK NO.2,ATTOCK,ATTOCK,ATTOCK
4,37110006,GHS SHEEN BAGH,ATTOCK,ATTOCK,ATTOCK
5,37110007,GHSS F-6 PAC KAMRA,ATTOCK,ATTOCK,ATTOCK
6,37110008,GHS AKHORI,ATTOCK,ATTOCK,ATTOCK
7,37110009,GHS MIRZA,ATTOCK,ATTOCK,ATTOCK
8,37110010,GHSS DAURDAD,ATTOCK,ATTOCK,ATTOCK
9,37110011,GHS HAJI SHAH,ATTOCK,ATTOCK,ATTOCK
10,37110013,GHS GARYALA,ATTOCK,ATTOCK,ATTOCK
11,37110014,GHS KAMRA KALAN,ATTOCK,ATTOCK,ATTOCK
12,37110028,GGHSS ATTOCK CITY NO.1,ATTOCK,ATTOCK,ATTOCK
13,37110029,GGHS ATTOCK NO.2,ATTOCK,ATTOCK,ATTOCK
14,37110030,GGHS AMF KAMRA CANTT,ATTOCK,ATTOCK,ATTOCK
15,37110031,GGHSS PAC F-6 KAMRA,ATTOCK,ATTOCK,ATTOCK
16,37110032,GGHSS MIRZA,ATTOCK,ATTOCK,ATTOCK
17,37110033,GGHS SHEEN BAGH,ATTOCK,ATTOCK,ATTOCK
18,37110034,GGHS HAJI SHAH,ATTOCK,ATTOCK,ATTOCK
19,37110036,GGHS BOLIAN WAL,ATTOCK,ATTOCK,ATTOCK
20,37110041,GHS (MC) ATTOCK CITY,ATTOCK,ATTOCK,ATTOCK
21,37110042,GHS GOLRA,ATTOCK,ATTOCK,ATTOCK
22,37110043,GHS SOJHANDA,ATTOCK,ATTOCK,ATTOCK
23,37110044,GHS CHHOI BANGLA,ATTOCK,ATTOCK,ATTOCK
24,37110045,GES SHEEN BAGH KALAN,ATTOCK,ATTOCK,ATTOCK
25,37110046,GHS SHAKAR DARA,ATTOCK,ATTOCK,ATTOCK
26,37110047,GHS BOOTA,ATTOCK,ATTOCK,ATTOCK
27,37110048,GES SANJWAL,ATTOCK,ATTOCK,ATTOCK
28,37110049,GHS KAWA,ATTOCK,ATTOCK,ATTOCK
29,37110050,GES BOLIAN WAL,ATTOCK,ATTOCK,ATTOCK
30,37110051,GHS MARI KANJOOR,ATTOCK,ATTOCK,ATTOCK
31,37110052,GHS DAKHNAIR (ATTOCK),ATTOCK,ATTOCK,ATTOCK
32,37110053,GHS FAQIR ABAD,ATTOCK,ATTOCK,ATTOCK
33,37110066,GGHS PEPOLES COLONY ATTOCK,ATTOCK,ATTOCK,ATTOCK
34,37110067,GGHS PAF BASE COLONY,ATTOCK,ATTOCK,ATTOCK
35,37110068,GGES (MC) ATTOCK CITY,ATTOCK,ATTOCK,ATTOCK
36,37110069,GGES (MC) MEHAR PURA,ATTOCK,ATTOCK,ATTOCK
37,37110070,GGES GONDAL,ATTOCK,ATTOCK,ATTOCK
38,37110071,GGHS FAQEER ABAD,ATTOCK,ATTOCK,ATTOCK
39,37110072,GGHS MARI KANJOOR,ATTOCK,ATTOCK,ATTOCK
40,37110073,GGHS DAKHNAIR (ATTOCK),ATTOCK,ATTOCK,ATTOCK
41,37110074,GGHS SHAKAR DARA,ATTOCK,ATTOCK,ATTOCK
42,37110075,GGHS AKHORI,ATTOCK,ATTOCK,ATTOCK
43,37110076,GGHS KAMRA KALAN,ATTOCK,ATTOCK,ATTOCK
44,37110077,GGHS BOOTA,ATTOCK,ATTOCK,ATTOCK
45,37110078,GGHS SALAR,ATTOCK,ATTOCK,ATTOCK
46,37110079,GGES DAURDAD,ATTOCK,ATTOCK,ATTOCK
47,37110092,GPS ATTOCK SADAR,ATTOCK,ATTOCK,ATTOCK
48,37110093,GPS DHOK FATEH SARWALA,ATTOCK,ATTOCK,ATTOCK
49,37110095,GPS AMF KAMRA,ATTOCK,ATTOCK,ATTOCK
50,37110096,GPS (MC) ATTOCK NO.6,ATTOCK,ATTOCK,ATTOCK
51,37110097,GPS (MC) CHOTI WEST ATTOCK CITY,ATTOCK,ATTOCK,ATTOCK
52,37110098,GPS (MC) ATTOCK NO.3,ATTOCK,ATTOCK,ATTOCK
53,37110099,GPS DHOK UMRA,ATTOCK,ATTOCK,ATTOCK
54,37110100,GPS KAHUTRA,ATTOCK,ATTOCK,ATTOCK
55,37110101,GPS DHOK TARBETHI (AKHORI),ATTOCK,ATTOCK,ATTOCK
56,37110102,GPS ARANG,ATTOCK,ATTOCK,ATTOCK
57,37110103,GPS DHOK BAQA,ATTOCK,ATTOCK,ATTOCK
58,37110104,GPS SAQA ABAD,ATTOCK,ATTOCK,ATTOCK
59,37110105,GPS MADROTA,ATTOCK,ATTOCK,ATTOCK
60,37110107,GPS THEEKRIAN,ATTOCK,ATTOCK,ATTOCK
61,37110108,GPS KAMRA KHURD,ATTOCK,ATTOCK,ATTOCK
62,37110109,GPS PIND SULEMAN MAKHAN,ATTOCK,ATTOCK,ATTOCK
63,37110110,GES URTAK PUR,ATTOCK,ATTOCK,ATTOCK
64,37110112,GPS BAGH NELAB,ATTOCK,ATTOCK,ATTOCK
65,37110113,GPS GHORAMAR,ATTOCK,ATTOCK,ATTOCK
66,37110114,GPS JABA SURAG SALAR,ATTOCK,ATTOCK,ATTOCK
67,37110116,GPS DHAIR,ATTOCK,ATTOCK,ATTOCK
68,37110117,GPS SALAR,ATTOCK,ATTOCK,ATTOCK
69,37110118,GPS GONDAL,ATTOCK,ATTOCK,ATTOCK
70,37110119,GES BROTHA,ATTOCK,ATTOCK,ATTOCK
71,37110123,GPS DHERI KOT,ATTOCK,ATTOCK,ATTOCK
72,37110124,GPS FATU CHAK,ATTOCK,ATTOCK,ATTOCK
73,37110128,GPS ROOMIAN,ATTOCK,ATTOCK,ATTOCK
74,37110129,GPS DHOK JAWANDA,ATTOCK,ATTOCK,ATTOCK
75,37110131,GES JASSIAN,ATTOCK,ATTOCK,ATTOCK
76,37110132,GPS DHOK PATTA,ATTOCK,ATTOCK,ATTOCK
77,37110133,GPS DHOK GAMA,ATTOCK,ATTOCK,ATTOCK
78,37110134,GPS SARWALA,ATTOCK,ATTOCK,ATTOCK
79,37110136,GES HAJI SHAH,ATTOCK,ATTOCK,ATTOCK
80,37110137,GPS DHOK MOCHIAN AKHORI,ATTOCK,ATTOCK,ATTOCK
81,37110139,GPS BOORA,ATTOCK,ATTOCK,ATTOCK
82,37110140,GPS TOOTIAN WALI MASJID,ATTOCK,ATTOCK,ATTOCK
83,37110141,GPS DHOK NAWAZ,ATTOCK,ATTOCK,ATTOCK
84,37110142,GPS DHOK JOGIAN,ATTOCK,ATTOCK,ATTOCK
85,37110145,GPS BARYAR,ATTOCK,ATTOCK,ATTOCK
86,37110146,GPS PINDWAL,ATTOCK,ATTOCK,ATTOCK
87,37110147,GES DHOK HAJI AHMED,ATTOCK,ATTOCK,ATTOCK
88,37110148,GPS PIR KOT,ATTOCK,ATTOCK,ATTOCK
89,37110202,GGPS DHOK AULIA,ATTOCK,ATTOCK,ATTOCK
90,37110203,GMPS MOHALLAH SHAH ABAD,ATTOCK,ATTOCK,ATTOCK
91,37110204,GGES PIND GHULAM KHAN,ATTOCK,ATTOCK,ATTOCK
92,37110205,GGPS APWA,ATTOCK,ATTOCK,ATTOCK
93,37110206,GGPS (MC) R BLOCK,ATTOCK,ATTOCK,ATTOCK
94,37110208,GGHS (MC) CHOI WEST ATTOCK CITY,ATTOCK,ATTOCK,ATTOCK
95,37110209,GMPS (MC) K-BLOCK ATTOCK CITY NO.2,ATTOCK,ATTOCK,ATTOCK
96,37110210,GGPS KAHOTTRA,ATTOCK,ATTOCK,ATTOCK
97,37110211,GGPS TARBETHI,ATTOCK,ATTOCK,ATTOCK
98,37110212,GGES DHOK HASSU,ATTOCK,ATTOCK,ATTOCK
99,37110213,GGPS KAWA PIND,ATTOCK,ATTOCK,ATTOCK
100,37110214,GGCMS PIND TRAIR,ATTOCK,ATTOCK,ATTOCK
101,37110215,GGPS SAQA ABAD,ATTOCK,ATTOCK,ATTOCK
102,37110216,GGPS ARANG,ATTOCK,ATTOCK,ATTOCK
103,37110217,GGPS DHOK SHARFA,ATTOCK,ATTOCK,ATTOCK
104,37110218,GGPS BAGH NELAB,ATTOCK,ATTOCK,ATTOCK
105,37110219,GGPS DHOK KALA,ATTOCK,ATTOCK,ATTOCK
106,37110220,GGPS KAMRA KHURD,ATTOCK,ATTOCK,ATTOCK
107,37110221,GGPS DHOK GAMA,ATTOCK,ATTOCK,ATTOCK
108,37110222,GGPS PINDWAL,ATTOCK,ATTOCK,ATTOCK
109,37110223,GMPS DHERI LAGAL,ATTOCK,ATTOCK,ATTOCK
110,37110224,GMPS DHERY CHOHAN,ATTOCK,ATTOCK,ATTOCK
111,37110225,GGPS DHOK HAJI AHMED,ATTOCK,ATTOCK,ATTOCK
112,37110226,GGES MONGI WALI,ATTOCK,ATTOCK,ATTOCK
113,37110227,GGPS DHOK JAWANDA,ATTOCK,ATTOCK,ATTOCK
114,37110228,GGPS KANJOOR,ATTOCK,ATTOCK,ATTOCK
115,37110229,GGPS KOT NAWAB KHAN,ATTOCK,ATTOCK,ATTOCK
116,37110230,GGPS DHOK MOLVI MUHAMMAD,ATTOCK,ATTOCK,ATTOCK
117,37110231,GGPS SHAKARDARA NO. 2,ATTOCK,ATTOCK,ATTOCK
118,37110232,GGCMES MADROTHA,ATTOCK,ATTOCK,ATTOCK
119,37110233,GGPS FATU CHAK,ATTOCK,ATTOCK,ATTOCK
120,37110234,GGPS THANDI BHAEER,ATTOCK,ATTOCK,ATTOCK
121,37110239,GGPS MIR PUR HUSSAIN,ATTOCK,ATTOCK,ATTOCK
122,37110240,GGPS SURAG,ATTOCK,ATTOCK,ATTOCK
123,37110241,GGPS DHOK KHOSHA,ATTOCK,ATTOCK,ATTOCK
124,37110242,GGCMHS BARYAR,ATTOCK,ATTOCK,ATTOCK
125,37110243,GPS MODEL NAWA,ATTOCK,ATTOCK,ATTOCK
126,37110244,GGPS SHIN BAGH KHURD,ATTOCK,ATTOCK,ATTOCK
127,37110245,GGPS CHHOI,ATTOCK,ATTOCK,ATTOCK
128,37110246,GGPS PIND SULEMAN MAKHAN,ATTOCK,ATTOCK,ATTOCK
129,37110247,GGPS JABA DAKHLI SARWALA,ATTOCK,ATTOCK,ATTOCK
130,37110248,GMPS NAKODAR BARYAR,ATTOCK,ATTOCK,ATTOCK
131,37110249,GGPS SHEEN BAGH KALAN,ATTOCK,ATTOCK,ATTOCK
132,37110250,GGES BROTHA,ATTOCK,ATTOCK,ATTOCK
133,37110251,GGPS GHOARA MAR,ATTOCK,ATTOCK,ATTOCK
134,37110252,GMPS GARYALA,ATTOCK,ATTOCK,ATTOCK
135,37110253,GMPS NOOR PUR KARAM ALIA,ATTOCK,ATTOCK,ATTOCK
136,37110254,GGPS SOJHANDA,ATTOCK,ATTOCK,ATTOCK
137,37110255,GGPS DHOK WARAICH,ATTOCK,ATTOCK,ATTOCK
138,37110256,GGES DHERI KOT,ATTOCK,ATTOCK,ATTOCK
139,37110257,GGES JASSIAN,ATTOCK,ATTOCK,ATTOCK
140,37110258,GGPS SANJWAL,ATTOCK,ATTOCK,ATTOCK
141,37110259,GGPS GOLRA,ATTOCK,ATTOCK,ATTOCK
142,37110260,GGPS MIRZA NO.1,ATTOCK,ATTOCK,ATTOCK
143,37110261,GGPS FAQIR ABAD,ATTOCK,ATTOCK,ATTOCK
144,37110262,GGES MIRZA NO.2,ATTOCK,ATTOCK,ATTOCK
145,37110263,GGPS BOORA,ATTOCK,ATTOCK,ATTOCK
146,37110264,GGPS DHOK MOCHIAN AKHORI,ATTOCK,ATTOCK,ATTOCK
147,37110265,GGPS THIKRIAN,ATTOCK,ATTOCK,ATTOCK
148,37110266,GGPS JABA (ATTOCK),ATTOCK,ATTOCK,ATTOCK
149,37110267,GGCMS SHAKAR DARA,ATTOCK,ATTOCK,ATTOCK
150,37110268,GGPS DHAIR,ATTOCK,ATTOCK,ATTOCK
151,37110269,GGPS DHOK JOGIAN,ATTOCK,ATTOCK,ATTOCK
152,37110270,GGPS QAZI ABAD,ATTOCK,ATTOCK,ATTOCK
153,37110271,GGPS DHOK BANARAS,ATTOCK,ATTOCK,ATTOCK
154,37110272,GGPS DHOK GHAZI,ATTOCK,ATTOCK,ATTOCK
155,37110273,GGPS DHOK TERBHATI AKHORI,ATTOCK,ATTOCK,ATTOCK
156,37110274,GGPS ROOMIAN,ATTOCK,ATTOCK,ATTOCK
157,37110319,GGPS DHOK KISRAN,ATTOCK,ATTOCK,ATTOCK
158,37110329,GES KHANDA KHOOH,ATTOCK,ATTOCK,ATTOCK
159,37110337,GPS MASJID LOHARAN,ATTOCK,ATTOCK,ATTOCK
160,37110359,GMPS AKHORI,ATTOCK,ATTOCK,ATTOCK
161,37110360,GPS MODEL DHOK SAWAIN,ATTOCK,ATTOCK,ATTOCK
162,37110362,GGCMS F-6/RF PAC KAMRA,ATTOCK,ATTOCK,ATTOCK
163,37110363,GPS MONGI WALI,ATTOCK,ATTOCK,ATTOCK
164,37110364,GPS DHOK BHURA,ATTOCK,ATTOCK,ATTOCK
165,37110379,GGES SANJWAL CANTT,ATTOCK,ATTOCK,ATTOCK
166,37110381,GGPS MEHR PURA SHARQI,ATTOCK,ATTOCK,ATTOCK
167,37110382,GGES HAJI SHAH,ATTOCK,ATTOCK,ATTOCK
168,37110383,GPS DAURDAD,ATTOCK,ATTOCK,ATTOCK
169,37110390,GPS SURAG SALAR,ATTOCK,ATTOCK,ATTOCK
170,37110391,GPS SOJHANDA,ATTOCK,ATTOCK,ATTOCK
171,37110392,GPS CHOI,ATTOCK,ATTOCK,ATTOCK
172,37120001,GHS FATEH JANG NO.1,ATTOCK,FATEH JANG,FATEH JANG
173,37120002,GHS FATEH JANG NO.2,ATTOCK,FATEH JANG,FATEH JANG
174,37120003,GHSS MALAL,ATTOCK,FATEH JANG,FATEH JANG
175,37120004,GHS HATTAR,ATTOCK,FATEH JANG,FATEH JANG
176,37120005,GHSS KOT FATEH KHAN,ATTOCK,FATEH JANG,FATEH JANG
177,37120006,GHS JABBI KASRAN,ATTOCK,FATEH JANG,FATEH JANG
178,37120007,GHS JAFFAR,ATTOCK,FATEH JANG,FATEH JANG
179,37120008,GHS BAHTAR,ATTOCK,FATEH JANG,FATEH JANG
180,37120009,GHS JHANG,ATTOCK,FATEH JANG,FATEH JANG
181,37120010,GHS MOORAT,ATTOCK,FATEH JANG,FATEH JANG
182,37120011,GHS DHURNAL,ATTOCK,FATEH JANG,FATEH JANG
183,37120012,GHS QUTBAL,ATTOCK,FATEH JANG,FATEH JANG
184,37120013,GHS LASSA,ATTOCK,FATEH JANG,FATEH JANG
185,37120014,GHS SHAH RAI SADULLAH,ATTOCK,FATEH JANG,FATEH JANG
186,37120015,GGHS FATEH JANG NO. 1,ATTOCK,FATEH JANG,FATEH JANG
187,37120016,GGHS BAHTAR,ATTOCK,FATEH JANG,FATEH JANG
188,37120017,GGHSS KOT FATEH KHAN,ATTOCK,FATEH JANG,FATEH JANG
189,37120018,GGHS HATTAR,ATTOCK,FATEH JANG,FATEH JANG
190,37120019,GGHS JABBI KASRAN,ATTOCK,FATEH JANG,FATEH JANG
191,37120020,GHS JANGEL,ATTOCK,FATEH JANG,FATEH JANG
192,37120021,GHS MIAN RASHIDA,ATTOCK,FATEH JANG,FATEH JANG
193,37120022,GHS MAHOORA,ATTOCK,FATEH JANG,FATEH JANG
194,37120023,GES KARIMA,ATTOCK,FATEH JANG,FATEH JANG
195,37120024,GHS RATWAL,ATTOCK,FATEH JANG,FATEH JANG
196,37120025,GHS LANGER,ATTOCK,FATEH JANG,FATEH JANG
197,37120026,GES DEWAL,ATTOCK,FATEH JANG,FATEH JANG
198,37120027,GES MAKI DHOK,ATTOCK,FATEH JANG,FATEH JANG
199,37120028,GHS KANIAL,ATTOCK,FATEH JANG,FATEH JANG
200,37120029,GHS BURJ,ATTOCK,FATEH JANG,FATEH JANG
201,37120030,GES PHAMRA JAGIR,ATTOCK,FATEH JANG,FATEH JANG
202,37120031,GHS HUMAK,ATTOCK,FATEH JANG,FATEH JANG
203,37120032,GES MARI,ATTOCK,FATEH JANG,FATEH JANG
204,37120033,GGHS FATEH JANG NO.3,ATTOCK,FATEH JANG,FATEH JANG
205,37120034,GGHS MALAL,ATTOCK,FATEH JANG,FATEH JANG
206,37120035,GGES MOEDL TANAZA DAM,ATTOCK,FATEH JANG,FATEH JANG
207,37120036,GGHS PIND FATEH,ATTOCK,FATEH JANG,FATEH JANG
208,37120037,GGES PIND FAZAL KHAN,ATTOCK,FATEH JANG,FATEH JANG
209,37120038,GGHS JHANG,ATTOCK,FATEH JANG,FATEH JANG
210,37120039,GGES HUMAK,ATTOCK,FATEH JANG,FATEH JANG
211,37120040,GGES DHOKRI,ATTOCK,FATEH JANG,FATEH JANG
212,37120041,GGHS GALI JAGEER,ATTOCK,FATEH JANG,FATEH JANG
213,37120042,GGHS JAFFAR,ATTOCK,FATEH JANG,FATEH JANG
214,37120043,GGHS DHURNAL,ATTOCK,FATEH JANG,FATEH JANG
215,37120044,GGHS MOORAT,ATTOCK,FATEH JANG,FATEH JANG
216,37120045,GGHS QUTBAL,ATTOCK,FATEH JANG,FATEH JANG
217,37120047,GPS FATEH JANG NO.2,ATTOCK,FATEH JANG,FATEH JANG
218,37120048,GPS FATEH JANG WEST,ATTOCK,FATEH JANG,FATEH JANG
219,37120049,GPS MIAN NOOR FATEH JANG,ATTOCK,FATEH JANG,FATEH JANG
220,37120050,GPS MALAL,ATTOCK,FATEH JANG,FATEH JANG
221,37120051,GPS QULYAR,ATTOCK,FATEH JANG,FATEH JANG
222,37120052,GPS KHIDWAL,ATTOCK,FATEH JANG,FATEH JANG
223,37120053,GES JHANDIAL,ATTOCK,FATEH JANG,FATEH JANG
224,37120054,GPS DULHHAL,ATTOCK,FATEH JANG,FATEH JANG
225,37120055,GPS DHOK NATHEEN,ATTOCK,FATEH JANG,FATEH JANG
226,37120056,GPS DHOK ALI MUHAMMAD,ATTOCK,FATEH JANG,FATEH JANG
227,37120058,GPS DHARI RAI DITTA,ATTOCK,FATEH JANG,FATEH JANG
228,37120059,GES JOGI MERA,ATTOCK,FATEH JANG,FATEH JANG
229,37120060,GPS DHOK LOHARAN MALAL,ATTOCK,FATEH JANG,FATEH JANG
230,37120061,GES BAHTAR,ATTOCK,FATEH JANG,FATEH JANG
231,37120062,GES DHAREK,ATTOCK,FATEH JANG,FATEH JANG
232,37120063,GES PIND FAZAL KHAN,ATTOCK,FATEH JANG,FATEH JANG
233,37120064,GES SAHIB KHAN,ATTOCK,FATEH JANG,FATEH JANG
234,37120065,GPS DHOK MIAN HASOO,ATTOCK,FATEH JANG,FATEH JANG
235,37120066,GPS ZAINDI,ATTOCK,FATEH JANG,FATEH JANG
236,37120067,GES TAJA BARA,ATTOCK,FATEH JANG,FATEH JANG
237,37120068,GPS SOUK,ATTOCK,FATEH JANG,FATEH JANG
238,37120069,GPS HASTAL,ATTOCK,FATEH JANG,FATEH JANG
239,37120070,GPS MAJHIA,ATTOCK,FATEH JANG,FATEH JANG
240,37120071,GPS DHOK SYEDAN (F.JANG),ATTOCK,FATEH JANG,FATEH JANG
241,37120073,GPS MALIK PUR,ATTOCK,FATEH JANG,FATEH JANG
