License No,Store Name,Store Address,Town Name,Location
185ANT102013,M/S Abdullah Medical Store,"Hussain Plaza G-48, 18Km Ferozepur Road, Nishter Colony Lahore",NISHTAR TOWN,"31.42195567698937,74.35782265988969"
46ANT910,M/s Abu Dawood Trading Company Pakistan Pvt Limited,"10-KM Raiwind Road, Behind Pak Hero Industries, Lahore",NISHTAR TOWN,"31.390169787909894,74.22686191197317"
314405,M/s Aftab Medical Store,"St No 1 , Awan Market , 17 KM Ferozepur Road",NISHTAR TOWN,"31.435180505788228,74.35790099723629"
43002,M/s Afzal Medical Store,"Shop No 4, Awan Market, Attari Sarobah, Near Anwar Chowk, Ferozepur Road",NISHTAR TOWN,"31.433259275553315,74.36486828964318"
92BNT102011,M/S Ahmad Brothers Medical/ General Store,"378-C, Gujjar Colony Chungi Amer Sidhu, Lahore",NISHTAR TOWN,"31.412864878039624,74.33143085753781"
388506,M/s Ahmed Medical Store,"Main Anam Road, Glaxo Town, Ferozepur Road, Lahore",NISHTAR TOWN,"31.410214688820552,74.35972339021524"
71BNT102011,M/S Alfred Pharmacy,"Bhatti Market, Main Bazar Youhanabad, Opposite, Gujjar Bakery, Lahore",NISHTAR TOWN,"31.412546961520043,74.36307822292216"
205104,M/s Al-Hafeez Pharmacy,"Opposite Video point right side , adj Hafiz Karyana Store, Left side Arif Watch Expert, Main Bazar Awan Market, Ferozepur Road",NISHTAR TOWN,"31.435389456639502,74.35624927275894"
99ANT102011,M/S Al-Haq Medical Store,"Kamahan Road, Ferozepur Road, Lahore",NISHTAR TOWN,"31.439596140814047,74.35620207672451"
136BNT102012,M/s Ali Aziz Medical Store,"Ward No.6 opposite UBL/Ghalla Mandi Main Ferozepur Road, Kahna Nau",NISHTAR TOWN,"31.372357,74.366107"
246704,M/s Ali Hajvery Medicose,"Kahna Nau, Ferozepur Road, Lahore",NISHTAR TOWN,"31.368483,74.364054"
22BNT0910,M/s Ali Medical Store,"Mohsin Chowk Karim Park, Bank Stop, Ferozepur Road",NISHTAR TOWN,"31.43951985789027,74.35506892638406"
410606,M/s Ali Medical Store,"Bagrian, Dharam Chand, Town ship, lahore",NISHTAR TOWN,"31.424903094704135,74.29835860836461"
98BNT102011,M/S Ali Medical Store,"10, Km, Raiwind Road, Lahore",NISHTAR TOWN,"31.381207519674934,74.22988310015809"
313920059,M/s Ali Moazam Pharmacy,"Usama Block, House No. 129-130, Nishter Colony, Ferozepur Road, Lahore",NISHTAR TOWN,"31.421199775869123,74.36453911380596"
74ANT092011,M/S Ali Pharmacy,"Badian Road, Wasi Muhammad Hospital, Heir, Lahore",NISHTAR TOWN,"31.44233588544086,74.3956561734113"
130ANT92012,M/S Al-Karim Pharmacy,"4/B, Sher Shah Colony, Raiwind Road",NISHTAR TOWN,"31.41441318997874,74.22191209666785"
246504,M/s Al-Macca Medical Store,"Youhanabad Stop, Ferozepur Road, Lahore",NISHTAR TOWN,"31.41193240312788,74.35956441399297"
289204,M/s Al-Madni Medical Store,"Raiwind Road, Lahore",NISHTAR TOWN,"31.413593309245275,74.23066604636443"
